lodi_ref21 lodi_ref22
1.00502512562814e-05 0.00350877192982457
0.000331658291457286 0.0456140350877193
0.000683417085427136 0.0947368421052631
0.00106532663316583 0.143859649122807
0.00143718592964824 0.191228070175439
0.00179899497487437 0.243859649122807
0.00233165829145729 0.310526315789474
0.00280402010050251 0.373684210526316
0.00320603015075377 0.42280701754386
0.00374874371859297 0.492982456140351
0.0042713567839196 0.559649122807018
0.00476381909547739 0.61578947368421
0.00517587939698493 0.664912280701754
0.00539698492462312 0.687719298245614
0.0054572864321608 0.598245614035088
0.00551758793969849 0.443859649122807
0.00555778894472362 0.26140350877193
0.00558793969849246 0.149122807017544
0.00558793969849246 0.0508771929824562
0.00558793969849246 0.00350877192982457
0.00597989949748744 0.00526315789473697
